,GO Primary Key,Council District,Highest NIBRS/UCR Offense Description,Clearance Status,GO Location Zip,Longitude,Latitude,Processing Time,month,weekday
278,"20,158,000,099",1,Theft,N,78723,-97.66776827266656,30.291012738202344,40.0,1,5
279,"20,155,000,329",8,Theft,N,78746,-97.78953453961715,30.280101629593798,4.0,1,5
280,"20,155,000,290",10,Theft,N,78759,-97.7543888560965,30.424551182246326,53.0,1,5
281,"20,155,000,318",7,Theft,N,78757,-97.7303947555158,30.33704267470822,5.0,1,5
282,"20,155,000,269",2,Theft,N,78744,-97.75406162096596,30.190570894578503,9.0,1,5
283,"201,530,743",1,Theft,N,78721,-97.67060640133712,30.28383273082882,18.0,1,5
284,"20,155,000,331",2,Theft,N,78745,-97.77701748206258,30.19310502434093,37.0,1,5
285,"201,531,423",3,Theft,N,78741,-97.73272461760132,30.232381580536213,9.0,1,5
286,"201,530,718",9,Theft,N,78722,-97.71899039658236,30.294765936341577,25.0,1,5
287,"201,530,728",5,Theft,N,78745,-97.80358775372845,30.19778569545347,16.0,1,5
288,"20,158,000,013",9,Theft,N,78703,-97.75607677566336,30.279765900146213,6.000000000000001,1,5
289,"20,155,000,292",1,Theft,N,78702,-97.71541304733208,30.262599036011228,5.0,1,5
290,"201,540,535",2,Burglary,N,78745,-97.77730661136162,30.180739954781398,11.000000000000002,1,6
291,"201,541,122",4,Burglary,N,78753,-97.68411991872648,30.355518134579807,11.000000000000002,1,6
292,"20,155,008,065",7,Burglary,N,78759,-97.70604075011526,30.41676334421323,53.0,1,6
293,"201,541,270",10,Burglary,N,78731,-97.7546819918832,30.350484762220844,16.0,1,6
294,"201,541,371",3,Burglary,N,78745,-97.76184325166577,30.221035861322928,0.0,1,6
295,"201,541,322",4,Burglary,N,78752,-97.68836660852396,30.33168848721832,3.0000000000000004,1,6
296,"201,540,374",7,Burglary,N,78758,-97.68279532054859,30.39402642930923,17.0,1,6
